zip_code_of_location_of_base-station,Normalized Lyapunov Exponents,Normalized Average Mobility factor,latitude,longitude,Data_Rate_normalized
95762,0.84397,1.4756,38.672761,-121.050378,2.6441
95762,0.84397,1.4756,38.666807,-121.06483,2.6892
95864,-0.31253,1.4756,38.591618,-121.370626,3.0778
95762,3.157,4.4135,38.669931,-121.05958,4.3064
95621,-1.469,-1.4622,38.680923,-121.313945,-1.1935
95817,0.84397,0.0066998,38.554967,-121.468046,-1.1863
95624,-1.469,-1.4622,38.40573,-121.369832,-1.1791
95815,-1.469,-1.4622,38.624678,-121.439203,-1.1285
95824,-1.469,-1.4622,38.518044,-121.443555,-1.1256
95822,-0.31253,-1.4622,38.515125,-121.480416,-1.114
95815,0.84397,0.0066998,38.623571,-121.454884,-1.049
95815,-0.31253,-1.4622,38.622953,-121.450142,-1.0418
95824,-1.469,-1.4622,38.518373,-121.411779,-1.0418
95824,-0.31253,-1.4622,38.51055,-121.414768,-1.0273
95820,-1.469,-1.4622,38.53942,-121.446894,-1.0152
95683,0,0,38.492287,-121.100032,-0.98575
95815,-1.469,-1.4622,38.621998,-121.442238,-0.98394
95758,-2.6255,-1.4622,38.423251,-121.444489,-0.98394
95864,-0.31253,-1.4622,38.588672,-121.373916,-0.97672
95758,-2.6255,-1.4622,38.423251,-121.444489,-0.96949
95632,-0.31253,-1.4622,38.241514,-121.312199,-0.92095
95820,-0.31253,-1.4622,38.52712,-121.435348,-0.88999
95660,-0.31253,-1.4622,38.67895,-121.379406,-0.88999
95842,-1.469,0.0066998,38.682279,-121.352817,-0.86253
95670,-0.31253,-1.4622,38.587156,-121.295778,-0.82416
95824,-0.31253,-1.4622,38.518942,-121.430158,-0.80164
95838,-0.31253,0.0066998,38.636565,-121.460383,-0.79784
95660,-0.31253,-1.4622,38.650445,-121.374861,-0.78881
95822,-0.31253,0.0066998,38.514665,-121.480411,-0.78881
95626,-0.31253,0.0066998,38.717976,-121.407684,-0.78158
95660,-0.31253,-1.4622,38.66654,-121.378298,-0.7599
95838,-1.469,-1.4622,38.637678,-121.452476,-0.72376
95838,-0.31253,0.0066998,38.658478,-121.450409,-0.71654
95815,-0.31253,0.0066998,38.61779,-121.436765,-0.71292
95833,-0.31253,-1.4622,38.623817,-121.477827,-0.6804
95632,-0.31253,0.0066998,38.270617,-121.299205,-0.6804
95628,-1.469,0.0066998,38.662785,-121.276272,-0.66233
95834,-0.31253,0.0066998,38.631056,-121.48508,-0.65511
95758,0,0,38.423251,-121.444489,-0.64426
95820,-1.469,-1.4622,38.532727,-121.470783,-0.64426
95828,0.84397,0.0066998,38.488623,-121.410582,-0.64426
95828,-0.31253,0.0066998,38.488611,-121.412808,-0.64426
95660,0.84397,0.0066998,38.692915,-121.367497,-0.63704
95822,-0.31253,-1.4622,38.487444,-121.491366,-0.61897
95828,-0.31253,0.0066998,38.473288,-121.3963,-0.61536
95828,-0.31253,0.0066998,38.482876,-121.405912,-0.60813
95823,0.84397,0.0066998,38.484834,-121.449316,-0.60813
95758,-1.469,0.0066998,38.420138,-121.412179,-0.59367
95621,-0.31253,0.0066998,38.693724,-121.307169,-0.56477
95825,-1.469,-1.4622,38.609982,-121.419263,-0.56477
95624,-1.469,0.0066998,38.41875,-121.370019,-0.56477
95842,-1.469,-1.4622,38.67273,-121.359645,-0.55184
95621,-0.31253,0.0066998,38.720653,-121.302241,-0.52391
95820,-1.469,-1.4622,38.541965,-121.452132,-0.52264
95843,-0.31253,0.0066998,38.715346,-121.388163,-0.49972
95823,-0.31253,0.0066998,38.448288,-121.420719,-0.47804
95842,-0.31253,0.0066998,38.69951,-121.359989,-0.47081
95670,-0.31253,0.0066998,38.591477,-121.31534,-0.42745
95823,-0.31253,0.0066998,38.457654,-121.431381,-0.41841
95823,-0.31253,0.0066998,38.461283,-121.434322,-0.39854
95843,-1.469,0.0066998,38.710889,-121.358876,-0.39131
95758,-0.31253,0.0066998,38.417649,-121.420294,-0.38842
95758,0.84397,0.0066998,38.417182,-121.397231,-0.37686
95670,0.84397,0.0066998,38.592383,-121.318669,-0.35879
95758,-0.31253,0.0066998,38.435471,-121.441173,-0.35518
95608,0.84397,0.0066998,38.666564,-121.325717,-0.32627
95621,-0.31253,0.0066998,38.718693,-121.303619,-0.29013
95826,-0.31253,-1.4622,38.543697,-121.366683,-0.2829
95843,-0.31253,0.0066998,38.704407,-121.36113,-0.24677
95682,-0.31253,-1.4622,38.694052,-120.995589,-0.23954
95648,0.84397,0.0066998,38.879192,-121.309477,-0.2287
95828,-0.31253,0.0066998,38.461296,-121.390858,-0.21063
95838,0.84397,0.0066998,38.655887,-121.446119,-0.21063
95667,-0.31253,0.0066998,38.74458,-120.794254,-0.21063
95823,0.84397,1.4756,38.443253,-121.431992,-0.21063
95820,-1.469,-1.4622,38.536741,-121.42115,-0.19618
95682,-1.469,0.0066998,38.69437,-120.996602,-0.1745
95667,-1.469,-1.4622,38.739774,-120.860243,-0.16366
95621,0.84397,0.0066998,38.696489,-121.328555,-0.13836
95610,-0.31253,0.0066998,38.710388,-121.261096,-0.13836
95833,0,0,38.626582,-121.52151,-0.13475
95824,-0.31253,-1.4622,38.513066,-121.451909,-0.085016
95825,0,0,38.588816,-121.408549,-0.066088
95833,-0.31253,0.0066998,38.624762,-121.522775,-0.066088
95825,0.84397,0.0066998,38.606603,-121.394147,-0.066088
95624,-0.31253,0.0066998,38.419214,-121.348533,-0.066088
95826,0.84397,0.0066998,38.55821,-121.355022,-0.044406
95673,0.84397,0.0066998,38.702893,-121.454949,-0.032373
95722,-0.31253,-1.4622,39.008159,-121.03623,-0.029951
95628,-1.469,0.0066998,38.665644,-121.259969,-0.029951
95757,-0.31253,0.0066998,38.390557,-121.449805,-0.029951
95835,-0.31253,0.0066998,38.672495,-121.515251,-0.0010426
95835,-0.31253,0.0066998,38.661658,-121.540633,0.0061846
95822,-0.31253,-1.4622,38.534596,-121.493121,0.015219
95630,0,0,38.6457,-121.1197,0.042321
95624,0,0,38.43742,-121.372876,0.056775
95842,-0.31253,0.0066998,38.699489,-121.361828,0.078457
95828,0.84397,1.4756,38.459711,-121.384283,0.078457
95816,-1.469,-1.4622,38.562296,-121.467489,0.078457
95835,0,0,38.676658,-121.528128,0.11459
95662,-0.31253,0.0066998,38.669882,-121.213533,0.11459
95662,0.84397,0.0066998,38.692199,-121.250975,0.11459
95678,-0.31253,0.0066998,38.725283,-121.297953,0.11459
95843,-0.31253,0.0066998,38.710221,-121.341651,0.15073
95610,2.0005,2.9445,38.682358,-121.272876,0.15835
95829,-0.31253,0.0066998,38.45967,-121.360461,0.17045
95758,0.84397,0.0066998,38.409634,-121.410787,0.18687
95843,-0.31253,0.0066998,38.705849,-121.334701,0.19409
95648,0.84397,0.0066998,38.879084,-121.298586,0.19987
95822,0.84397,0.0066998,38.482704,-121.500433,0.21916
95843,0.84397,1.4756,38.717042,-121.35468,0.223
95835,0,0,38.676937,-121.529244,0.25914
95835,0.84397,1.4756,38.671807,-121.498274,0.25914
95835,-0.31253,0.0066998,38.665704,-121.529096,0.25914
95834,0,0,38.647961,-121.543162,0.25914
95624,0.84397,1.4756,38.435288,-121.375703,0.29527
95758,0.84397,0.0066998,38.411522,-121.481406,0.29527
95624,0.84397,1.4756,38.404934,-121.352405,0.33141
95628,-0.31253,0.0066998,38.660322,-121.230101,0.37487
95834,0.84397,0.0066998,38.633028,-121.526755,0.41814
95747,-0.31253,0.0066998,38.752399,-121.330328,0.41814
95628,-0.31253,0.0066998,38.664552,-121.255937,0.43254
95678,-0.31253,0.0066998,38.776327,-121.284514,0.43259
95838,-0.31253,0.0066998,38.65783,-121.456842,0.4526
95648,0.84397,2.9445,38.864864,-121.313988,0.45789
95670,0,0,38.625289,-121.260286,0.47595
95673,-0.31253,-1.4622,38.700553,-121.452223,0.47595
95632,0.84397,1.4756,38.272942,-121.289148,0.47595
95667,-0.31253,0.0066998,38.694559,-120.848157,0.47595
95835,0.84397,0.0066998,38.677454,-121.494791,0.47957
95670,-0.31253,0.0066998,38.628732,-121.261149,0.51209
95747,0,0,38.772771,-121.364877,0.52293
95835,0,0,38.668692,-121.54549,0.56629
95648,2.0005,1.4756,38.866409,-121.308485,0.58436
95823,0.84397,0.0066998,38.447353,-121.434969,0.61897
95648,-1.469,0.0066998,38.849924,-121.275729,0.69277
95630,-0.31253,0.0066998,38.667834,-121.168578,0.69277
95757,-0.31253,0.0066998,38.387014,-121.440967,0.7
95820,-1.469,-1.4622,38.542727,-121.442449,0.72168
95670,0.84397,1.4756,38.573488,-121.282809,0.73613
95819,-0.31253,-1.4622,38.563805,-121.436395,0.75782
95630,0.84397,0.0066998,38.652002,-121.129504,0.75782
95632,0.84397,0.0066998,38.279581,-121.300828,0.80118
95667,0.84397,1.4756,38.738141,-120.784145,0.83731
95678,-0.31253,0.0066998,38.782094,-121.297133,0.88068
95823,0.84397,0.0066998,38.487409,-121.461413,0.9222
95811,0.84397,0.0066998,38.591822,-121.478644,0.92367
95757,2.0005,1.4756,38.405224,-121.479275,0.98186
95677,0.84397,0.0066998,38.778691,-121.204292,1.0541
95757,2.0005,2.9445,38.405527,-121.431746,1.0903
95682,-0.31253,0.0066998,38.664225,-121.007173,1.1914
95765,0.84397,0.0066998,38.805749,-121.280931,1.2131
95757,0.84397,1.4756,38.390465,-121.443479,1.2422
95632,2.0005,2.9445,38.271646,-121.286848,1.3432
95742,0,0,38.527502,-121.233492,1.3794
95683,0.84397,0.0066998,38.512602,-121.087233,1.3794
95834,0,0,38.650221,-121.551704,1.4408
95648,0.84397,1.4756,38.857635,-121.311375,1.4642
95762,2.0005,1.4756,38.679136,-121.034329,1.4784
95811,-1.469,-1.4622,38.582604,-121.47576,1.5239
95630,0.84397,0.0066998,38.676306,-121.09954,1.56
95841,-0.31253,-1.4622,38.646374,-121.353658,1.6323
95762,-0.31253,0.0066998,38.668239,-121.064437,1.6323
95624,0.84397,1.4756,38.403609,-121.335541,1.6323
95835,0.84397,2.9445,38.665696,-121.549437,1.6684
95835,2.0005,1.4756,38.677225,-121.519687,1.7172
95765,2.0005,1.4756,38.801637,-121.278798,1.7769
95608,-1.469,0.0066998,38.602754,-121.329326,1.8058
95667,0.84397,1.4756,38.787877,-120.816676,1.813
95757,0.84397,1.4756,38.398488,-121.473424,1.8853
95678,0,0,38.770153,-121.300039,1.925
95603,-0.31253,1.4756,38.891935,-121.08434,1.9503
95762,0,0,38.628459,-121.055078,2.2177
95693,0,0,38.408841,-121.198039,2.355
95829,2.0005,1.4756,38.47643,-121.309243,2.4454
95608,0.84397,0.0066998,38.602461,-121.330979,2.514
95661,0.84397,1.4756,38.735373,-121.227072,2.741
95747,0.84397,0.0066998,38.742118,-121.359909,2.7453
95628,2.0005,4.4135,38.64167,-121.262099,3.2223
95819,2.0005,0.0066998,38.563244,-121.446876,3.3596
95650,0.84397,2.9445,38.813337,-121.133348,4.3714
95842,-1.469,-1.4622,38.673678,-121.357471,-1.4031
95825,-2.6255,-1.4622,38.582279,-121.401482,-1.3453
95815,-0.31253,-1.4622,38.620685,-121.460539,-1.2477
95817,-1.469,-1.4622,38.546798,-121.460038,-1.2438
95820,-1.469,-1.4622,38.532718,-121.46747,-1.2224
95838,-1.469,-1.4622,38.638797,-121.435049,-1.2224
95820,-1.469,-1.4622,38.539447,-121.450858,-1.2008
95820,-1.469,-1.4622,38.539447,-121.450858,-1.2008
95841,-1.469,-1.4622,38.658739,-121.333561,-1.1357
95842,-1.469,-1.4622,38.669104,-121.359008,-1.0943
95838,-0.31253,-1.4622,38.637337,-121.432835,-1.0851
95820,-1.469,-1.4622,38.53728,-121.463531,-1.0802
95828,-0.31253,-1.4622,38.497237,-121.424187,-1.0779
95822,-0.31253,-1.4622,38.484274,-121.488851,-1.0418
95826,-1.469,-1.4622,38.559144,-121.368387,-1.0418
95838,-1.469,0.0066998,38.630151,-121.442789,-1.0345
95838,-0.31253,-1.4622,38.637704,-121.453946,-1.0056
95842,-1.469,-1.4622,38.663282,-121.359631,-0.98756
95815,0.84397,0.0066998,38.617718,-121.440089,-0.96949
95826,-2.6255,-1.4622,38.544627,-121.35796,-0.96949
95621,-1.469,-1.4622,38.675893,-121.2963,-0.96226
95815,0.84397,0.0066998,38.622243,-121.457863,-0.94961
95660,-0.31253,-1.4622,38.68972,-121.378399,-0.87915
95821,-0.31253,-1.4622,38.623738,-121.41305,-0.87554
95820,0.84397,0.0066998,38.53361,-121.469308,-0.86831
95838,-0.31253,-1.4622,38.659414,-121.45408,-0.86831
95823,-1.469,-1.4622,38.463929,-121.438667,-0.86289
95843,-1.469,0.0066998,38.71607,-121.364468,-0.86108
95678,-1.469,0.0066998,38.732429,-121.288069,-0.86108
95832,-0.31253,-1.4622,38.470093,-121.468347,-0.85313
95660,-0.31253,0.0066998,38.656131,-121.377265,-0.83037
95828,0.84397,2.9445,38.490704,-121.410176,-0.82495
95820,-1.469,-1.4622,38.53105,-121.479574,-0.82495
95834,-1.469,0.0066998,38.647523,-121.523217,-0.82495
95823,-0.31253,0.0066998,38.470187,-121.448149,-0.82416
95823,-1.469,0.0066998,38.454949,-121.440578,-0.8141
95815,-0.31253,-1.4622,38.613103,-121.444085,-0.81248
95632,-0.31253,0.0066998,38.24227,-121.31032,-0.81049
95822,-0.31253,0.0066998,38.50372,-121.490657,-0.80326
95825,-1.469,-1.4622,38.598321,-121.39161,-0.78881
95833,0.84397,0.0066998,38.617173,-121.482541,-0.78467
95626,0.84397,0.0066998,38.705834,-121.43919,-0.77642
95826,-1.469,-1.4622,38.557045,-121.37167,-0.77464
95678,-1.469,-1.4622,38.749723,-121.27008,-0.77435
95828,0.84397,0.0066998,38.49069,-121.382619,-0.77074
95660,-0.31253,0.0066998,38.699269,-121.376334,-0.75267
95824,-1.469,-1.4622,38.520941,-121.459355,-0.73023
95673,-1.469,0.0066998,38.691104,-121.451832,-0.7057
95608,-0.31253,0.0066998,38.628563,-121.328297,-0.68401
95626,-0.31253,0.0066998,38.71865,-121.407763,-0.6804
95832,-0.31253,0.0066998,38.47807,-121.48114,-0.67462
95822,-0.31253,0.0066998,38.484896,-121.486948,-0.64426
95828,0.84397,0.0066998,38.478502,-121.403517,-0.62981
95828,-0.31253,0.0066998,38.479083,-121.400702,-0.61102
95820,2.0005,0.0066998,38.534508,-121.467907,-0.60813
95747,-1.469,0.0066998,38.795529,-121.328819,-0.60813
95822,-0.31253,0.0066998,38.489759,-121.474754,-0.60813
95823,-0.31253,0.0066998,38.457157,-121.433065,-0.57199
95838,-0.31253,0.0066998,38.646677,-121.437573,-0.56885
95838,-0.31253,0.0066998,38.646677,-121.437573,-0.56838
95621,0.84397,0.0066998,38.70166,-121.323249,-0.55031
95660,-0.31253,0.0066998,38.697898,-121.377687,-0.55031
95823,-0.31253,0.0066998,38.45356,-121.435959,-0.53586
95678,-1.469,-1.4622,38.734136,-121.299639,-0.53586
95621,-1.469,0.0066998,38.720868,-121.309855,-0.50695
95673,-0.31253,0.0066998,38.687659,-121.4633,-0.50695
95758,-1.469,0.0066998,38.42465,-121.430137,-0.49972
95632,-0.31253,0.0066998,38.283085,-121.302071,-0.48527
95621,0.84397,0.0066998,38.715781,-121.298519,-0.48315
95621,0.84397,0.0066998,38.715781,-121.298519,-0.48315
95820,-0.31253,-1.4622,38.52774,-121.433669,-0.47804
95842,-0.31253,0.0066998,38.695677,-121.36022,-0.46358
95833,0.84397,0.0066998,38.620687,-121.482619,-0.46358
95827,-0.31253,0.0066998,38.564,-121.320023,-0.46358
95632,-0.31253,0.0066998,38.260467,-121.302636,-0.43468
95841,-0.31253,0.0066998,38.658734,-121.357196,-0.40577
95823,-0.31253,0.0066998,38.447585,-121.426627,-0.39131
95826,-0.31253,0.0066998,38.55992,-121.352539,-0.39131
95828,0.84397,0.0066998,38.466499,-121.381119,-0.39131
95608,-1.469,0.0066998,38.637396,-121.300055,-0.37686
95661,-0.31253,-1.4622,38.72748,-121.256537,-0.33115
95747,-0.31253,0.0066998,38.747878,-121.311279,-0.3082
95838,-0.31253,0.0066998,38.657811,-121.465327,-0.30459
95621,-0.31253,0.0066998,38.706152,-121.325399,-0.29953
95826,-0.31253,-1.4622,38.544368,-121.369979,-0.2829
95838,-0.31253,0.0066998,38.645689,-121.452766,-0.26372
95842,-0.31253,-1.4622,38.681541,-121.355616,-0.26122
95823,-0.31253,0.0066998,38.46452,-121.427606,-0.24427
95864,-1.469,-1.4622,38.581471,-121.38839,-0.22509
95841,0.84397,0.0066998,38.687943,-121.328883,-0.19618
95828,0.84397,1.4756,38.468639,-121.403265,-0.18895
95758,0.84397,0.0066998,38.413947,-121.408276,-0.1745
95621,-0.31253,-1.4622,38.698154,-121.298375,-0.16004
95828,0.84397,0.0066998,38.460492,-121.373379,-0.14794
95758,-1.469,0.0066998,38.423963,-121.428875,-0.14778
95833,0.84397,0.0066998,38.619675,-121.496903,-0.13836
95816,0.84397,1.4756,38.573844,-121.462839,-0.13836
95678,-0.31253,-1.4622,38.746794,-121.29971,-0.13764
95678,-0.31253,0.0066998,38.756149,-121.306479,-0.12029
95838,-0.31253,0.0066998,38.658466,-121.460661,-0.11668
95831,-1.469,-1.4622,38.48403,-121.507641,-0.10222
95758,0.84397,1.4756,38.417026,-121.416821,-0.094996
95624,-0.31253,0.0066998,38.398245,-121.380615,-0.081265
95843,-0.31253,-1.4622,38.705753,-121.388917,-0.079537
95632,0.84397,0.0066998,38.282001,-121.295902,-0.062474
95820,-0.31253,0.0066998,38.534827,-121.412545,-0.042043
95833,0.84397,0.0066998,38.62478,-121.523474,-0.029951
95828,-0.31253,0.0066998,38.47547,-121.380055,-0.029951
95841,-1.469,-1.4622,38.657789,-121.354994,-0.026179
95843,0.84397,1.4756,38.72286,-121.358939,-0.021279
95831,-0.31253,0.0066998,38.49026,-121.550527,-0.015497
95834,-1.469,0.0066998,38.644406,-121.549049,-0.011883
95822,-0.31253,-1.4622,38.523828,-121.481139,-0.0036372
95843,-0.31253,0.0066998,38.727657,-121.391028,-0.0010426
95831,-1.469,0.0066998,38.48797,-121.530229,0.002571
95828,0.84397,1.4756,38.462981,-121.408288,0.0061846
95670,2.0005,2.9445,38.603686,-121.277844,0.013412
95630,-0.31253,0.0066998,38.679626,-121.142609,0.013939
95835,-0.31253,0.0066998,38.665296,-121.531993,0.027866
95632,0.84397,0.0066998,38.277177,-121.303747,0.034089
